category_id,num_products
6548,1726
8192,170
8227,1107
28932,463
28596,1068
8223,710
2549,17003
49384,1182
15318,918
8511,1256
8295,1501
1815,16655
2,543437
958,1109
28454,816
4423,1693
8594,3978
316,16285
5121,1583
1607,188
23040,781
2679,157
1846,456
1520,12673
8225,750
1801,840
1811,632
5275,359
23238,820
861,1306
8513,688
1870,849
6522,883
849,1196
6991,1567
8384,914
2019,740
23058,1361
8305,1345
11843,1344
11911,113
879,1159
12672,393
28482,575
49444,88
5552,535
27584,1049
49288,85
1583,1836
8274,1785
1909,616
6905,301
23576,1637
4342,281
1837,215
23346,1273
6523,370
23352,1079
4593,540
23688,269
3864,410
1883,17972
12294,614
15236,1133
28930,102
7064,1114
2678,677
10521,471
5385,1213
49346,872
8459,279
9052,1047
45510,264
23678,678
11304,468
2561,193
6061,1384
3710,1360
7083,598
8239,782
10510,988
27196,1130
23802,571
45484,853
11907,93
53580,147
1841,245
4875,1450
23712,286
4420,1594
914,24665
10237,1140
23102,1673
49426,354
1862,2109
17170,1745
8240,1789
27212,1178
1613,713
8602,1821
,41699
8206,359
4398,394
23078,1116
4395,1108
8309,338
1627,233
8286,83
2347,1098
10228,127
8216,288
10238,1124
11821,223
11879,273
844,1000
1918,622
24196,1501
5463,486
23622,1476
23588,1291
28866,67
18332,1217
4221,480
23288,730
23714,401
5460,1039
3179,887
24300,283
5531,701
23112,1577
24298,423
49362,637
12984,566
28922,1806
49576,562
49592,187
20174,1036
4425,360
27128,1328
23370,771
45528,286
5279,772
5280,706
23504,178
5276,407
3422,1117
49620,1476
8322,1886
23476,13
24292,977
922,773
4384,2247
8327,815
23258,1358
10554,220
49630,692
18406,258
17186,477
2333,105
49368,431
4381,1484
3515,1088
28778,173
49500,531
858,433
1856,848
369,232
23236,993
5456,1400
1626,361
7912,386
4555,704
28858,182
1813,558
28578,1447
8399,629
4556,942
23246,1265
24198,1336
49598,984
2784,1508
23506,273
5478,1358
15250,981
23228,1092
2140,1194
2337,1021
871,1140
23528,457
49726,94
4451,1018
49634,592
6948,846
17162,429
1598,15
24348,821
49450,391
8407,457
49642,149
12878,122
25000,1022
8265,1349
49452,934
5252,834
5277,647
45596,829
23456,389
21272,605
49428,1661
49704,1134
3428,820
23592,816
28924,1873
23440,353
49448,1113
8276,587
3789,879
1880,935
8345,560
5409,752
10384,1206
1899,1502
5461,1301
49670,400
28592,85
939,669
49668,785
27240,961
6742,479
23156,659
5261,998
8484,528
28576,1178
11875,424
1596,92
28944,1601
28942,836
12676,995
2136,1351
6214,56
10536,370
28904,444
23424,229
1882,5067
10511,497
23392,889
11334,1078
23282,1375
49354,929
1994,424
10430,47
28780,234
2328,1172
53074,1225
2511,1292
23254,995
10487,54
1608,103
11869,520
24286,147
5339,1231
23184,1696
2365,722
1601,1823
23540,914
3424,415
18346,1157
49632,664
4452,746
4408,49
11935,1089
45494,1117
2004,332
49458,860
1984,1323
21370,1326
1641,121
5246,956
21368,541
4624,1436
28836,337
49602,936
8491,617
842,1258
4380,880
2602,431
2340,1134
3177,1460
5905,444
53550,1243
10515,1038
49412,1041
11962,237
49504,841
9725,1199
49626,981
49542,609
24188,27
20244,1214
49654,1011
2849,920
28484,1090
23242,437
8202,689
49496,670
2562,30
1975,4362
8344,739
2002,96
23334,481
20182,172
5253,744
28862,120
49442,114
1836,355
10524,145
8485,119
23362,1102
10477,504
24122,589
11516,922
49590,237
8278,269
7079,888
28428,669
24076,614
2044,214
8201,784
10073,281
27256,767
23438,209
6521,968
1636,714
4427,392
11894,71
49438,1101
3990,1483
24240,1420
3216,696
23030,1159
5943,514
49594,251
1612,188
2589,227
45538,1186
5254,204
11908,1088
8193,761
11755,87
2514,1110
5394,688
2512,1059
7361,90
5410,972
18344,1010
21372,218
21454,8
21470,51
21492,759
46188,67
933,975
23446,769
21260,1187
49436,671
11341,116
53564,258
49610,498
49446,1001
20172,50
24352,1510
51698,135
8123,1130
24066,153
5313,305
4428,571
11857,739
4604,298
8198,351
3793,967
11873,793
28948,545
2250,1061
865,540
856,773
847,1224
901,18
900,37
7358,1116
2248,1253
8782,251
9216,996
3980,140
3898,822
1871,232
1925,194
5674,744
5029,1060
2539,668
8275,1100
2805,1372
12882,87
5454,709
23634,1487
24868,607
2685,1005
9013,186
13366,6
24164,455
52242,572
593,973
5007,206
3320,998
4747,157
6525,885
28682,792
10538,1193
10535,220
13362,3
45604,571
24174,672
2971,490
7081,236
853,988
8171,293
1805,1023
6040,1073
5258,878
1754,1134
49604,681
877,1078
1637,320
6524,480
8490,123
4505,1438
49678,637
28396,18
11859,554
1685,936
49566,673
5614,402
11863,100
45530,242
28480,852
5123,460
11861,380
27588,948
8492,407
24170,731
8516,372
4429,328
7566,844
2569,346
9283,787
24322,128
24238,1214
5402,1055
23136,1006
24078,32
1881,888
15320,792
11883,427
23134,921
45512,4
13878,1735
2324,1100
5260,926
917,2
45508,7
6063,643
23518,69
3426,1159
49652,1133
24276,790
3170,717
11833,307
11767,99
1803,184
23436,247
11933,303
28674,154
2008,447
12864,283
5124,453
385,947
11660,592
49676,849
10480,82
7061,199
49422,912
840,966
845,1001
18342,789
4079,386
10454,52
8205,1174
2375,78
9724,1232
8488,18
2555,265
28644,453
2565,438
18360,23
9423,29
49684,79
2269,300
5333,1096
49498,714
22900,188
5284,1013
163,21
5407,679
1858,1874
12886,695
2016,843
859,314
1524,333
247,294
24728,60
15410,146
9902,63
8402,1121
5472,1111
8334,494
2110,783
24162,139
6069,1016
4880,204
10806,111
2644,197
24876,692
11939,134
24200,1911
23026,588
10460,75
23834,464
28960,141
49680,982
23154,271
45556,41
45468,329
1942,178
24180,300
21440,1082
21432,317
25028,233
21390,138
25022,14
21478,77
21288,648
21392,37
21282,1054
49624,157
21286,228
21418,603
21386,118
10532,74
21094,55
193,11
21384,645
21412,1023
21336,175
21348,308
21362,580
45526,107
11860,438
21388,692
28574,1477
49622,440
20872,474
21400,59
10543,436
21036,149
24176,82
2225,1226
21344,873
8284,145
45500,60
25014,366
8519,334
24986,527
25034,382
